Name,Position,EstimatedValue,Notes,Boost
Jordan Walker,OF,5.5,Buy-low: Former #2 prospect. Hit .215 in 2025. Driveline retool this offseason. Age 23 STL.,1.0
Marcelo Mayer,SS,4.5,Buy-low: #4 pick 2021. Mashed AAA (.313/.451/.588) before wrist surgery. Age 22 BOS.,1.0
Henry Davis,C,3.0,Buy-low: #1 overall pick 2021. Hit .167 in 2025. Elite minor league track record. Age 25 PIT.,1.0
Jordan Lawlar,SS,3.5,Buy-low: #6 pick 2021. Career .165 MLB but finished 2025 hot (.333/.390/.528 last 41 PA). Age 23 ARI.,1.0
Cade Cavalli,SP,4.0,Buy-low: Former top-50 prospect. 5.18 ERA but xFIP 3.88 with 25% K rate. Likely Opening Day starter WSH. Age 25.,1.0
Kumar Rocker,SP,2.5,Buy-low: #10 pick 2022. 5.74 ERA in 2025 but 98mph FB + wipeout slider. Command needs work. Age 25 TEX.,1.0
Jacob Melton,OF,2.0,Buy-low: Top-100 prospect. Hit .157 in 78 MLB PA but crushed AAA (17.9% barrel rate). 20/30 upside. Age 25 TB.,1.0
Orelvis Martinez,3B,1.5,Buy-low: Former top-100. Elite raw power. PED suspension in 2024. Fresh start on new team. Age 23.,1.0
Andrew Painter,SP,4.5,Top prospect: Missed 2024 with Tommy John. Every chance to earn PHI rotation spot. Elite stuff. Age 22.,1.0
Bryce Eldridge,1B,3.0,Top prospect: 6-7 with elite slugging metrics. Consensus top-25. Mid-2026 call-up likely. Age 20 SF.,1.0
Chase DeLauter,OF,3.5,Top prospect: Power/patience/bat-to-ball profile. Top-50 consensus. CLE. Age 23.,1.0
Braden Montgomery,OF,3.0,Top prospect: ~#36 composite. Ready for MLB. CHW has playing time. Age 22.,1.0
Jonah Tong,SP,4.0,Top prospect: Called up Aug 2025 and looked elite. Age 22 NYM. Near MLB-ready arm.,1.0
Travis Bazzana,2B,3.5,Top prospect: #1 pick 2024. 30% Opening Day odds CLE. Advanced hit tool. Age 22.,1.0
Carson Benge,OF,5.0,Top prospect: Climbed Low-A to AAA in 2025 (.857 OPS 15 HR 22 SB). Likely Opening Day LF NYM. Age 23.,1.0
Carter Jensen,C,2.5,Top prospect: Offensive breakout age-20 season. Top-10 per Keith Law. KC. Catching prospect.,1.0
Emmanuel Rodriguez,OF,2.0,Top prospect: Elite plate discipline (13.4% O-Swing). Power/speed upside. MIN. Age 23.,1.0
Moises Ballesteros,C,2.0,Top prospect: ~#31 composite. Switch-hitting catcher with bat. CHC. Age 21.,1.0
Konnor Griffin,SS,1.5,#1 consensus prospect: .333 OPS/.941 with 21 HR 65 SB across 3 levels. But age 19 - 2027+ ETA. PIT.,1.0
Max Clark,OF,2.5,Top prospect: Consensus top-10. Speed/hit tool combo. Could debut mid-2026. Age 20 DET.,1.0
Kevin McGonigle,SS,2.0,Top prospect: Consensus #2. Elite hit tool. Age 21 DET. Mid-2026 or later.,1.0
Jesus Made,SS,1.5,Top prospect: Consensus #3. Still developing. MIL. Age 20. 2027 ETA.,1.0
Aidan Miller,SS,2.0,Top prospect: Composite ~#12. PHI. Age 21. Could push for mid-2026.,1.0
Walker Jenkins,OF,3.0,Top prospect: Reached AAA by age 20. Composite ~#14. MIN. Strong 2026 call-up candidate.,1.0
Colt Emerson,SS,3.5,Top prospect: Competing for SEA 2B job in spring training. Composite ~#9. Age 21.,1.0
Leo De Vries,SS,1.0,Top prospect: Consensus top-10 but 2028 ETA. Still in Double-A. Age 19 OAK. Pure stash.,1.0
